echo ADD 67ab2f8b204742abedf2cd2576648061 Michael-Starr PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 99e4be4c42fe5928c8380890541bce29 Jordan-Wells PRINT | ../hash_test `cat 023-cli.txt`
echo ADD bbc7436f14b68a00a8024b470071f1c8 Mason-Inoperative PRINT | ../hash_test `cat 023-cli.txt`
echo ADD c89ab53d05ebac93e0c0ed5301e4bfc9 Oliver-Thereto PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 5dc7eb4c6f64d09415c80d660f721094 Blake-Bookbind PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 658ce31dd9f04c4fca27b6bdf08e9e35 Victoria-Agnostic PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 4ecdf33f56842324cf19b29649fa8f03 Alyssa PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 49a0b1670e00e82f1d993dbdc0d09a47 Landon-Longitude PRINT | ../hash_test `cat 023-cli.txt`
echo ADD b003e97f11683848f8fb5d8782af6c49 Evelyn-Halo PRINT | ../hash_test `cat 023-cli.txt`
echo ADD f205a511bb726d95140b69dfee7cca40 Michael-Martin-Jr PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 06dcca4e1b699d52cd8114e6f420c855 Dylan-Barber PRINT | ../hash_test `cat 023-cli.txt`
echo ADD ad335a704008fa55e4ef6660180d3179 Andrew-Robinson PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 63baa6917d46a4605cac9f2a00331992 Bailey-Bewail PRINT | ../hash_test `cat 023-cli.txt`
echo ADD a71f23f6d5e8b4e3f9047432f13b0675 Alex-Donnelly PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 0a3756fd9cca9cbc09eb44f3b96a8b86 Dontonio-Syllable PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 1ee91e898526bcf31a400438b496416e Sophia-Araby PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 3274f3780325989627096fa262340e6d Nicholas-Corvette PRINT | ../hash_test `cat 022-cli.txt`
echo ADD 2ff77a68e075b5fb62465566ef2f1c2a John-Pore PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 20137c9a7690c4e1eb839a5149e8ad79 Brooke-Crandall PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 19b1e2b06d6cbf4259c431897707bdae Zachary-Etude PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 7236659dd590c298ca644e5176119850 John-Serve PRINT | ../hash_test `cat 022-cli.txt`
echo ADD 7423d70fc9ac37a56aaef35001fee371 Sofia-Detriment PRINT | ../hash_test `cat 023-cli.txt`
echo ADD c16c276b835b2e4d8b1307d8418852e1 Jordan-Differential PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 44706967ac1bb3ca09fb27b3859cf449 Thomas-Coextensive PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 8d13694bcea2a0a569032aa25bf39d90 Madelyn-Clench PRINT | ../hash_test `cat 023-cli.txt`
echo ADD f0cb04846ec923a2a2a431315c35880a Logan-Bangui PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 34448410eed40816872a1e412d39df40 Blake-Detain PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 10b9b9932f37d9268d13e9dce2530ea6 Daniel-Hydraulic PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 13ad18420f401c619c79e9a6976a3c8b Makayla-Circumcise PRINT | ../hash_test `cat 023-cli.txt`
echo ADD 4c0397eca133548d9d35e8dc5880398f Landon-Polariscope-Esq PRINT | ../hash_test `cat 023-cli.txt`
